open_time,close_time,open,high,low,close,volume,symbol
2020-10-23 00:00:00+00:00,2020-10-23 00:00:00+00:00,113.2146263110706,113.3702647242428,111.16219112016252,111.90145874023438,82572600,AAPL
2020-10-26 00:00:00+00:00,2020-10-26 00:00:00+00:00,110.89955881245989,113.37026292295224,109.80038294532773,111.91118621826172,111850700,AAPL
2020-10-27 00:00:00+00:00,2020-10-27 00:00:00+00:00,112.33918213169002,114.08034796929373,111.415103145049,113.4188995361328,92276800,AAPL
2020-10-28 00:00:00+00:00,2020-10-28 00:00:00+00:00,111.91116758600046,112.28079761799924,108.06892845060032,108.16619873046876,143937800,AAPL
2020-10-29 00:00:00+00:00,2020-10-29 00:00:00+00:00,109.30429841508608,113.73988906858683,109.138930754146,112.17381286621094,146129200,AAPL
2020-10-30 00:00:00+00:00,2020-10-30 00:00:00+00:00,108.03005218595368,108.93468016821244,104.78117782421192,105.89007568359376,190272600,AAPL
2020-11-02 00:00:00+00:00,2020-11-02 00:00:00+00:00,106.13323338437137,107.66039994190102,104.39206773628062,105.80250549316406,122866900,AAPL
2020-11-03 00:00:00+00:00,2020-11-03 00:00:00+00:00,106.66822990485883,108.44829771179336,105.763602118508,107.42694854736328,107624400,AAPL
2020-11-04 00:00:00+00:00,2020-11-04 00:00:00+00:00,111.02601237155882,112.43645025464208,109.2848465676762,111.81391143798828,138235500,AAPL
2020-11-05 00:00:00+00:00,2020-11-05 00:00:00+00:00,114.73207850123087,116.35652310750515,113.68154876208963,115.7826156616211,126387100,AAPL
2020-11-06 00:00:00+00:00,2020-11-06 00:00:00+00:00,115.29054042608117,116.14800627447282,113.15661069606604,115.65106964111328,114457900,AAPL
2020-11-09 00:00:00+00:00,2020-11-09 00:00:00+00:00,117.4147269877698,118.86657505737033,113.07866742947716,113.3417510986328,154515300,AAPL
2020-11-10 00:00:00+00:00,2020-11-10 00:00:00+00:00,112.59145738080136,114.57921861893703,111.20780945261691,113.00070190429688,138023400,AAPL
2020-11-11 00:00:00+00:00,2020-11-11 00:00:00+00:00,114.1894662365786,116.56698735100086,113.458669258225,116.43057250976562,112295000,AAPL
2020-11-12 00:00:00+00:00,2020-11-12 00:00:00+00:00,116.5572512865548,117.44394777392752,115.5341325209194,116.15774536132812,103162300,AAPL
2020-11-13 00:00:00+00:00,2020-11-13 00:00:00+00:00,116.38185824859464,116.60596516096147,114.85205685711352,116.20646667480467,81581900,AAPL
2020-11-16 00:00:00+00:00,2020-11-16 00:00:00+00:00,115.87516223258528,117.89216151069154,115.12488063733072,117.21983337402344,91183000,AAPL
